# ccx tau_xx tau_yy tau_zz cp
-0.088627 -81.1644 2.62618 6.56437e-14 0.114134
-0.0872871 -80.5175 2.64122 3.67722e-14 0.117388
-0.0859502 -79.859 2.62282 1.73812e-14 0.120689
-0.0846165 -79.188 2.60365 6.14033e-14 0.124033
-0.0832859 -78.5037 2.5727 6.61184e-14 0.127417
-0.0819583 -77.805 2.53058 3.32897e-14 0.130836
-0.0806338 -77.0879 2.49749 4.90263e-14 0.134288
-0.0793124 -76.3627 2.41004 3.30721e-14 0.137764
-0.077994 -75.6184 2.33209 2.37019e-14 0.141271
-0.0766787 -74.8567 2.24437 1.90015e-15 0.144802
-0.0753664 -74.0772 2.1469 -3.6292e-14 0.148354
-0.0740572 -73.2793 2.04091 -7.14131e-14 0.151927
-0.072751 -72.4624 1.93572 -3.65059e-14 0.155519
-0.0714478 -71.6259 1.8149 -9.14493e-14 0.15913
-0.0701477 -70.7692 1.68106 -4.95373e-14 0.162761
-0.0688505 -69.8915 1.55111 -3.44152e-14 0.166413
-0.0675564 -68.9923 1.41846 -5.56314e-14 0.17009
-0.0662653 -68.0697 1.28294 -3.26786e-14 0.173793
-0.0649771 -67.1253 1.14607 -9.67337e-14 0.177528
-0.0636919 -66.1568 1.00922 -8.48839e-14 0.181299
-0.0624097 -65.1634 0.873421 -6.86262e-15 0.185111
-0.0611305 -64.1434 0.739853 -4.24831e-14 0.188969
-0.0598543 -63.0947 0.609741 -7.75695e-14 0.192883
-0.0585809 -62.0166 0.486976 -7.46626e-15 0.196859
-0.0573106 -60.909 0.366573 -4.417e-14 0.200909
-0.0560432 -59.7705 0.251241 -4.20301e-14 0.205041
-0.0547787 -58.5989 0.145173 -3.74576e-14 0.209266
-0.0535171 -57.399 0.0461798 -8.23129e-14 0.213598
-0.0522585 -56.1586 -0.0401269 -1.17386e-13 0.218047
-0.0510028 -54.8875 -0.11823 -6.1608e-14 0.222626
-0.04975 -53.5763 -0.191225 -4.89966e-14 0.227349
-0.0485 -52.2236 -0.25466 -5.50022e-14 0.232228
-0.047253 -50.828 -0.309187 -2.53548e-14 0.237276
-0.0460089 -49.387 -0.355643 -1.8489e-14 0.242506
-0.0447676 -47.8989 -0.394215 -4.53917e-14 0.24793
-0.0435293 -46.3642 -0.426264 -2.90066e-14 0.253559
-0.0422938 -44.7853 -0.452149 -6.31902e-14 0.259406
-0.0410611 -43.1553 -0.47281 -5.76872e-14 0.265481
-0.0398313 -41.3102 -0.487727 -6.58411e-14 0.271761
-0.0386044 -39.5735 -0.499714 -1.02509e-13 0.278329
-0.0373803 -37.883 -0.506892 -8.82416e-14 0.285029
-0.036159 -35.9355 -0.509933 -7.63359e-14 0.29202
-0.0349406 -33.9617 -0.510487 -7.32118e-14 0.299283
-0.0337249 -32.0445 -0.508885 -3.64412e-14 0.306853
-0.0325121 -30.2103 -0.50596 -6.87867e-14 0.314696
-0.0313021 -28.7071 -0.499109 -8.04713e-14 0.323273
-0.0300949 -22.8807 -0.612602 -2.56868e-14 0.328594
-0.0288907 -24.0771 -1.2349 -6.03644e-14 0.340752
-0.0276895 -26.4291 -1.42827 2.83039e-13 0.342222
-0.0264912 -25.7322 -1.32842 -6.41692e-14 0.344085
-0.0252957 -24.4029 -1.2771 -4.62289e-14 0.348482
-0.024103 -23.251 -1.23255 4.62085e-13 0.353135
-0.022913 -22.0095 -1.18617 3.73368e-13 0.35814
-0.0217258 -21.2938 -1.15188 -1.07622e-13 0.364257
-0.0205413 -16.2204 -1.07596 2.44251e-13 0.366255
-0.0193607 -17.8781 -1.87555 5.8045e-13 0.378028
-0.0181845 -22.735 -2.40064 -1.78345e-13 0.376413
-0.0170115 -22.4299 -2.51934 1.11937e-12 0.373527
-0.0158413 -21.7588 -2.45074 -2.89757e-13 0.373837
-0.0146737 -20.9239 -2.37191 8.80222e-14 0.375498
-0.0135088 -20.2451 -2.30716 -1.28253e-13 0.37748
-0.0123467 -20.0932 -2.28759 8.1255e-13 0.380311
-0.0111872 -16.0797 -1.86254 4.39614e-13 0.379321
-0.0100333 -18.246 -3.06438 -5.68345e-13 0.392172
-0.00888502 -23.6937 -3.97603 -5.63301e-14 0.38254
-0.0077394 -22.7981 -3.8323 3.05197e-13 0.380814
-0.00659644 -22.7411 -3.82408 2.27138e-13 0.380287
-0.00545613 -22.6103 -3.81813 -7.50489e-13 0.378753
-0.00431845 -22.3577 -3.76911 8.0991e-13 0.378753
-0.00318341 -20.1684 -3.19891 -2.37806e-12 0.378387
-0.00205294 -20.0781 -2.69756 3.2526e-13 0.382292
-0.000929051 -23.7226 -4.81567 4.6082e-12 0.382003
0.00019021 -26.9857 -4.7501 3.1589e-13 0.374838
0.00130688 -26.5377 -4.65116 1.24453e-13 0.372168
0.00242096 -26.4761 -4.64295 2.40565e-13 0.369854
0.00353247 -26.363 -4.62808 2.99928e-13 0.368139
0.0046414 -26.2871 -4.2588 -9.59337e-13 0.366876
0.00574681 -24.4366 -5.14789 -1.19456e-12 0.364891
0.00684487 -26.9774 -6.74798 4.35719e-12 0.367887
0.00793648 -34.271 -7.28046 3.74838e-13 0.355233
0.00902557 -33.912 -7.21767 -7.66311e-13 0.349787
0.0101121 -34.4464 -7.38983 4.88339e-14 0.344807
0.0111962 -35.1137 -7.52607 -3.94728e-12 0.340578
0.0122777 -36.0645 -7.64261 9.28443e-13 0.337004
0.0133562 -33.1989 -8.18133 -3.2789e-12 0.329701
0.0144268 -34.6451 -10.0414 -2.86884e-13 0.332796
0.0154898 -47.4315 -11.8163 -2.05546e-12 0.313259
0.0165503 -48.2935 -12.014 1.78654e-12 0.302059
0.0176084 -50.383 -12.5145 6.17669e-13 0.291073
0.018664 -52.629 -13.0516 3.23906e-12 0.280211
0.0197172 -54.085 -13.4179 1.21026e-12 0.269146
0.0207675 -53.6806 -15.2267 -1.47175e-12 0.256685
0.0218123 -56.2866 -17.0048 -1.59868e-12 0.24773
0.0228523 -68.9506 -18.2873 8.29019e-13 0.224883
0.0238898 -71.6664 -18.9849 -5.41418e-13 0.205242
0.0249249 -75.1914 -19.9046 7.50751e-13 0.184581
0.0259577 -79.3242 -20.9825 8.76458e-14 0.161985
0.026988 -87.8117 -26.0345 1.68899e-13 0.138962
0.0280178 -91.8895 -21.9917 -7.71012e-13 0.111986
0.0290492 -86.5495 -23.1746 -5.23813e-13 0.0916824
0.0300804 -87.5801 -20.8227 -1.42735e-14 0.0849947
0.0311092 -90.4562 -21.5065 3.316e-12 0.0697375
0.0321356 -93.5237 -22.2305 -2.11524e-12 0.0521578
0.0331597 -98.035 -23.2834 5.29158e-13 0.0322216
0.0341815 -104.506 -27.538 -6.02292e-13 0.0126701
0.0352039 -100.046 -24.355 1.5445e-12 -0.0169026
0.0362268 -96.828 -20.927 -4.10065e-13 -0.015605
0.0372473 -100.434 -21.7054 5.63873e-13 -0.0261611
0.0382654 -103.434 -22.3423 8.47171e-13 -0.040233
0.0392812 -106.587 -23.0251 4.31884e-13 -0.0580513
0.0402947 -115.686 -27.6196 -5.50527e-13 -0.0762628
0.041308 -110.293 -24.4576 -2.0931e-13 -0.105459
